title,authors,journal,publication_year,doi
Natural isolates of Saccharomyces cerevisiae display complex genetic variation in sporulation efficiency,"Gerke JP, Chen CTL, Cohen BA",Genetics,2006,10.1534/genetics.106.058453
Phylogeny based discovery of regulatory elements,"Gertz J, Fay JC, Cohen BA",BMC Bioinformatics,2006,10.1186/1471-2105-7-266
"Discovery, validation, and genetic dissection of transcription factor binding sites by comparative and functional genomics","Gertz J, Riles L, Turnbaugh P, Ho SW, Cohen BA",Genome Research,2005,10.1101/gr.3859605
Finding functional features in Saccharomyces genomes by phylogenetic footprinting,"Cliften P, Sudarsanam P, Desikan A, Fulton L, Fulton B, Majors J, Waterston R, Cohen BA, Johnston M",Science,2003,10.1126/science.1084337
Discrimination between paralogs using microarray analysis: Application to the Yap1p and Yap2p transcriptional networks,"Cohen BA, Pilpel Y, Mitra RD, Church GM",Molecular Biology Of The Cell,2002,10.1091/mbc.01-10-0472
Targeted modification and transportation of cellular proteins,"Colas P, Cohen B, Ferrigno PK, Silver PA, Brent R",PNAS,2000,10.1073/pnas.97.25.13720
A computational analysis of whole-genome expression data reveals chromosomal domains of gene expression,"Cohen BA*, Mitra RD*, Hughes JD, Church GM",Nature Genetics,2000,10.1038/79896
An artificial cell-cycle inhibitor isolated from a combinatorial Library,"Cohen BA, Colas P, Brent R",PNAS,1998,10.1073/pnas.95.24.14272
Genetic selection of peptide aptamers that recognize and inhibit cyclin-dependent kinase 2,"Colas P*, Cohen B*, Jessen T, Grishina I, McCoy J, Brent R",Nature,1996,10.1038/380548a0
Panglobal Distribution of a Single Clonal Lineage of the Irish Potato Famine Fungus,"Goodwin SB, Cohen BA, Fry WE",PNAS,1994,10.1073/pnas.91.24.11591
